home_avg_pts_for,home_avg_pts_against,home_last5_wins,home_home_wins_pct,home_away_wins_pct,home_avg_margin,away_avg_pts_for,away_avg_pts_against,away_last5_wins,away_home_wins_pct,away_away_wins_pct,away_avg_margin,home_court_flag,implied_total,efficiency_diff,target_total,target_margin,game_id,date,season,home_team_id,away_team_id
74.33333333333333,74.33333333333333,2,0.6,0.0,0.0,71.83333333333333,57.333333333333336,4,1.0,0.0,14.5,0,146.16666666666666,-14.499999999999993,146,10,401831231,2025-11-23,2026,2752,277
95.83333333333333,65.0,5,1.0,1.0,30.833333333333332,82.16666666666667,60.0,4,1.0,0.0,22.166666666666668,0,178.0,8.666666666666657,191,-3,401831230,2025-11-23,2026,61,228
79.2,63.4,4,1.0,0.5,15.8,72.4,78.8,1,0.5,0.0,-6.4,1,151.60000000000002,22.199999999999996,152,42,401824889,2025-11-23,2026,2193,2433
65.5,72.0,2,0.4,0.0,-6.5,93.42857142857143,98.28571428571429,2,0.5,0.2,-4.857142857142857,1,158.92857142857144,-1.6428571428571388,183,13,401820554,2025-11-23,2026,2005,85
74.0,67.33333333333333,2,0.5,0.5,6.666666666666667,82.66666666666667,80.5,3,1.0,0.25,2.1666666666666665,0,156.66666666666669,4.5,151,15,401827154,2025-11-23,2026,2565,2011
91.8,78.8,3,1.0,0.0,13.0,67.5,90.33333333333333,0,0.5,0.0,-22.833333333333332,1,159.3,35.83333333333333,125,19,401826780,2025-11-23,2026,201,2016
70.8,66.8,2,0.6666666666666666,0.0,4.0,82.2,84.0,2,1.0,0.0,-1.8,1,153.0,5.799999999999997,169,11,401823494,2025-11-23,2026,231,2511
61.666666666666664,70.83333333333333,3,1.0,0.0,-9.166666666666666,63.57142857142857,71.71428571428571,1,0.5,0.0,-8.142857142857142,1,125.23809523809524,-1.0238095238095255,141,9,401813351,2025-11-23,2026,2099,2066
66.83333333333333,62.0,3,0.5,0.5,4.833333333333333,73.6,77.2,3,0.5,1.0,-3.6,0,140.43333333333334,8.433333333333337,183,-3,401831228,2025-11-23,2026,103,2655
59.2,70.4,0,0.0,0.0,-11.2,68.0,73.66666666666667,1,0.25,0.0,-5.666666666666667,1,127.2,-5.533333333333331,111,-5,401818552,2025-11-23,2026,311,225
86.2,63.8,4,0.8,0.5,22.4,60.8,75.4,1,1.0,0.0,-14.6,1,147.0,37.000000000000014,121,23,401812790,2025-11-23,2026,41,2803
89.2,64.8,5,1.0,0.5,24.4,92.4,72.6,4,1.0,0.5,19.8,0,181.60000000000002,4.599999999999994,153,-7,401817491,2025-11-23,2026,258,2086
70.6,81.6,1,0.5,0.0,-11.0,78.2,83.8,1,1.0,0.0,-5.6,1,148.8,-5.400000000000006,157,27,401823502,2025-11-23,2026,2110,331
75.0,73.16666666666667,2,0.6,0.0,1.8333333333333333,86.0,72.0,4,0.6666666666666666,1.0,14.0,0,161.0,-12.166666666666671,137,-11,401831204,2025-11-23,2026,232,43
93.66666666666667,57.166666666666664,5,1.0,1.0,36.5,75.33333333333333,71.66666666666667,3,0.6,0.0,3.6666666666666665,1,169.0,32.83333333333335,149,37,401817233,2025-11-23,2026,150,47
91.2,69.0,4,1.0,0.0,22.2,61.833333333333336,72.16666666666667,2,1.0,0.0,-10.333333333333334,1,153.03333333333333,32.53333333333334,138,56,401809418,2025-11-23,2026,2390,2169
77.8,67.0,3,0.6,0.5,10.8,72.33333333333333,82.16666666666667,1,0.5,0.0,-9.833333333333334,1,150.13333333333333,20.63333333333334,170,20,401823372,2025-11-23,2026,305,2174
